bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-032_ses-t4_task-rest_bold	0.001986033333333333	0.02160647966666667	0	43.55925110290971	1.0558148785618737	0.92193379361204	0.43359186538037553	81369.46875	0.3728967047480276	72	24.0	2.0912413763764075	2.012773333333333	2.2948666666666666	1.9660841291292237	0.0383333	-0.01679222285747528	0.02762015163898468	300	80	80	37	4.262663390116221	2.0000016689300537	3.0	3.0	3.3299999237060547	73.56019065134727	219.8509839725526	1609.69775390625	194.52420043945312	158701.0	19.43700408935547	8583.3623046875	4438.7119140625	2.11284116278084	11105.744654121678	58661.1640625	57306.38671875	35957.0	39320.38515625	83318.78906249996	13443.611328125	29.836790084838867
sub-033_ses-t0_task-rest_bold	0.0031408	0.012042661	0	21.820068946454835	1.1370524141806013	0.930462773712374	0.43282168929464565	77627.3515625	0.08224149668561741	4	1.3333333333333333	1.7755878303231019	1.7495366666666667	1.9397733333333333	1.6374534909693055	0.0299619	-0.00820077769458294	0.009219183586537838	300	80	80	37	5.2676591529791414	2.0000016689300537	3.0	3.0	3.3299999237060547	72.7274562914315	306.4054444644654	1909.275390625	224.9171905517578	162477.0	7.759618091583253	8987.825781249956	4507.267578125	2.4615102597596294	9607.97761565843	63926.6640625	62080.28515625	34238.0	48629.88359375	85618.54374999998	11785.0029296875	56.498077392578125
sub-033_ses-t1_task-rest_bold	0.0041598	0.0084477181	0	26.40206099043478	1.2727279833444824	1.0179320214046816	0.4209793349851348	111223.703125	0.15186274746885423	13	4.333333333333333	1.7404882205722416	1.7154566666666666	1.8870500000000001	1.618957995050058	0.0361901	-0.004182745236903429	0.011235109530389309	300	80	80	37	5.269785846292771	2.0000016689300537	3.0	3.0	3.3299999237060547	89.51832019397109	251.8879205625959	1751.239501953125	192.07240295410156	163889.0	10.495441055297851	8306.181054687502	4249.34130859375	2.4664516115025537	10151.134150681384	66418.46875	64546.90625	33140.0	50667.5091796875	88859.852734375	12248.302734375	59.50692367553711
sub-034_ses-t0_task-rest_bold	0.006240033333333334	0.026211365666666667	0	30.438832522207356	1.0074832890300995	0.9349405609698995	0.39805876169610394	162724.90625	0.41547443350281427	65	21.666666666666668	2.0542886032677203	2.00165	2.2391166666666664	1.9220991431364947	0.0771379	-0.004158959724009037	0.011730929836630821	300	80	80	37	4.453466311823718	2.0000016689300537	3.0	3.0	3.3299999237060547	152.10364347971597	195.58761647115034	1343.2823486328125	179.6365203857422	165322.0	15.115695524215699	7188.601098632783	4017.325927734375	2.0773314082161916	12709.14420494599	74538.1875	72716.5234375	32423.0	51632.257421875	105550.01562499999	16327.8212890625	30.642539978027344
sub-034_ses-t1_task-rest_bold	0.009320633333333333	0.023387131366666664	0	33.74333325521738	0.9728359845484944	0.9052641052173914	0.41089869208423085	175604.703125	0.44657519436741017	59	19.666666666666668	2.055950565134621	2.010596666666667	2.2476033333333336	1.9096516954038625	0.0911533	-0.005997649859637022	0.016772368922829628	300	80	80	37	4.408310050940879	2.0000016689300537	3.0	3.0	3.3299999237060547	101.45160036974059	182.51184301219672	1504.1954345703125	157.0241241455078	163205.0	15.970708274841309	8121.825195312494	4417.732421875	2.134777698721586	11719.11340787921	69269.625	67405.703125	33919.0	47868.234765625	98280.36562499999	15290.3740234375	29.026416778564453
sub-034_ses-t2_task-rest_bold	0.01829953333333333	0.029852066000000003	0	45.84215157170563	1.1890304109698988	1.0816433230434783	0.410490231587114	96316.8125	0.656545499230214	110	36.666666666666664	2.1156949401005325	2.058656666666667	2.30132	1.987108153634931	0.071851	-0.010502542369067669	0.020886121317744255	300	80	80	37	4.171079268051525	2.0000016689300537	3.0	3.0	3.3299999237060547	153.83580362436507	288.27788877353146	1771.483642578125	254.36502075195312	163032.0	25.95349884033203	8644.577929687472	5360.16357421875	1.7544460679712675	15310.43929429306	81458.2109375	79729.7734375	33501.0	53473.9921875	117274.90625	19114.6171875	25.761821746826172
sub-035_ses-t0_task-rest_bold	0.004823333333333333	0.009659517366666669	0	31.68222928137124	1.3072587428762545	1.0179595794983283	0.3969272754416093	86621.578125	0.22891375899184238	12	4.0	1.974499323472907	1.9113266666666666	2.157576666666667	1.8545946370853879	0.0282512	-0.013407925143837929	0.009868379682302475	300	80	80	37	4.642167089499932	2.0000016689300537	3.0	3.0	3.3299999237060547	48.41520807693599	210.5708495550551	1240.2666015625	200.10037231445312	166508.0	21.497565269470215	6201.679199218749	3269.60009765625	2.0026804240666394	9636.080456538502	60529.92578125	59253.79296875	30743.0	41272.766015625	84095.77968749998	12764.044921875	49.864288330078125
sub-036_ses-t0_task-rest_bold	0.0022614000000000006	0.009844251633333334	0	22.897098624113703	1.1656354198327752	0.913153798829431	0.4292519675307611	79249.640625	0.09942376456638262	0	0.0	1.99659404834152	1.9467133333333333	2.169633333333333	1.8734354783578933	0.108781	-0.006562620867043734	0.009670677594840527	300	80	80	37	4.23251690031623	2.0000016689300537	3.0	3.0	3.3299999237060547	61.54629198771451	272.4390900771941	1459.509033203125	223.455322265625	158467.0	14.277355098724366	6706.203564453111	3880.47119140625	2.434145557300951	11341.229376022678	65961.703125	64212.08984375	37105.0	45316.875	96276.28749999995	15170.931640625	46.47021484375
sub-036_ses-t14_task-rest_bold	0.0008814333333333333	0.007240369966666668	0	24.870254312474906	1.1989787721404679	0.9034440784615391	0.42505246657459744	92897.1328125	0.09791894344350499	0	0.0	1.9703379620319879	1.9290433333333334	2.137793333333333	1.8441772194292962	0.246465	-0.006560054607689381	0.009719017893075943	300	80	80	37	4.250970468342196	2.0000016689300537	3.0	3.0	3.3299999237060547	71.73207571109707	239.82282253031298	1297.1690673828125	203.67657470703125	158496.0	11.284652471542358	5881.6939697265625	3564.48828125	2.225568013712512	10968.77769135739	65308.234375	63068.8046875	37076.0	45860.46875	95551.029296875	14836.130859375	46.69927215576172
sub-036_ses-t1_task-rest_bold	0.0033658666666666667	0.0069240620999999995	0	26.906804036822756	1.2276938554515051	0.9637842525418067	0.42657866959335305	77313.59375	0.11978653850512325	5	1.6666666666666667	2.00269960404727	1.9472800000000001	2.1677166666666667	1.8931021454751447	0.0473634	-0.003199051134288311	0.010367820970714092	300	80	80	37	4.259296357173051	2.0000016689300537	3.0	3.0	3.3299999237060547	77.16143774764676	241.77056755413804	1290.9283447265625	216.53451538085938	158264.0	17.337254428863528	5722.443652343755	3578.064697265625	2.2771860522810474	10875.900770348897	64235.44140625	62277.17578125	37295.0	44180.746484375	93344.8078125	14621.2744140625	58.951778411865234
